"Category","Product type","SKU","Product description","Size (cm)","Size (inches)","Finish","Paper type","Substrate weight","Product price","Product currency","Source country","Destination country","Shipping method","Shipping price","Plus one shipping price","Shipping currency","Minimum shipping (days)","Maximum shipping (days)","Tracked shipping"
"Prints","Photo Art Prints","EP-GLOBAL-PAP-16X20","Photographic Art Print 40x50cm / 16x20""","40x50cm","16x20""",,"LPP","240gsm","   15.00","USD","US","US","Standard","    9.95","    0.00","USD",1,3,"Tracked"
"Prints","Photo Art Prints","EP-GLOBAL-PAP-16X24","Photographic Art Print 40x60cm / 16x24""","40x60cm","16x24""",,"LPP","240gsm","   16.00","USD","US","US","Budget","    5.95","    0.00","USD",1,5,"Tracked"
"Prints","Photo Art Prints","EP-GLOBAL-PAP-16X24","Photographic Art Print 40x60cm / 16x24""","40x60cm","16x24""",,"LPP","240gsm","   16.00","USD","US","US","Express","   20.00","    0.00","USD",1,3,"Tracked"
"Prints","Photo Art Prints","EP-GLOBAL-PAP-16X24","Photographic Art Print 40x60cm / 16x24""","40x60cm","16x24""",,"LPP","240gsm","   16.00","USD","US","US","Overnight","   31.95","    0.00","USD",1,1,"Tracked"
"Prints","Photo Art Prints","EP-GLOBAL-PAP-16X24","Photographic Art Print 40x60cm / 16x24""","40x60cm","16x24""",,"LPP","240gsm","   16.00","USD","US","US","Standard","    9.95","    0.00","USD",1,3,"Tracked"
"Prints","Photo Art Prints","EP-GLOBAL-PAP-18X24","Photographic Art Print 45x60cm / 18x24""","45x60cm","18x24""",,"LPP","240gsm","   19.00","USD","US","US","Budget","    5.95","    0.00","USD",1,5,"Tracked"
"Prints","Photo Art Prints","EP-GLOBAL-PAP-18X24","Photographic Art Print 45x60cm / 18x24""","45x60cm","18x24""",,"LPP","240gsm","   19.00","USD","US","US","Express","   20.00","    0.00","USD",1,3,"Tracked"
"Prints","Photo Art Prints","EP-GLOBAL-PAP-18X24","Photographic Art Print 45x60cm / 18x24""","45x60cm","18x24""",,"LPP","240gsm","   19.00","USD","US","US","Overnight","   31.95","    0.00","USD",1,1,"Tracked"
"Prints","Photo Art Prints","EP-GLOBAL-PAP-18X24","Photographic Art Print 45x60cm / 18x24""","45x60cm","18x24""",,"LPP","240gsm","   19.00","USD","US","US","Standard","    9.95","    0.00","USD",1,3,"Tracked"
"Prints","Photo Art Prints","EP-GLOBAL-PAP-20X20","Photographic Art Print 50x50cm / 20x20""","50x50cm","20x20""",,"LPP","240gsm","   23.00","USD","US","US","Budget","    5.95","    0.00","USD",1,5,"Tracked"
"Prints","Photo Art Prints","EP-GLOBAL-PAP-20X20","Photographic Art Print 50x50cm / 20x20""","50x50cm","20x20""",,"LPP","240gsm","   23.00","USD","US","US","Express","   20.00","    0.00","USD",1,3,"Tracked"
"Prints","Photo Art Prints","EP-GLOBAL-PAP-20X20","Photographic Art Print 50x50cm / 20x20""","50x50cm","20x20""",,"LPP","240gsm","   23.00","USD","US","US","Overnight","   31.95","    0.00","USD",1,1,"Tracked"
"Prints","Photo Art Prints","EP-GLOBAL-PAP-20X20","Photographic Art Print 50x50cm / 20x20""","50x50cm","20x20""",,"LPP","240gsm","   23.00","USD","US","US","Standard","    9.95","    0.00","USD",1,3,"Tracked"
"Prints","Photo Art Prints","EP-GLOBAL-PAP-20X30","Photographic Art Print 50x75cm / 20x30""","50x75cm","20x30""",,"LPP","240gsm","   23.00","USD","US","US","Budget","   12.95","    0.00","USD",1,3,"Tracked"
"Prints","Photo Art Prints","EP-GLOBAL-PAP-20X30","Photographic Art Print 50x75cm / 20x30""","50x75cm","20x30""",,"LPP","240gsm","   23.00","USD","US","US","Express","   20.00","    0.00","USD",1,3,"Tracked"
